ping,20231010T17:49:17,2.04878s
now,20231010T17:49:23,2.057547s
ping,20231010T17:49:35,2.043559s
now,20231010T17:49:41,2.051496s
type,20231010T17:49:48,2.045513s
type,20231010T17:49:54,2.035686s
type,20231010T17:50:00,2.029961s
type,20231010T17:50:06,2.036531s
type,20231010T17:50:12,2.065488s
type,20231010T17:50:18,2.068903s
